Filename,Stock,Pattern
JPM_253.png,JPM,Shooting Star
AMZN_621.png,AMZN,Double Bottom
META_404.png,META,Descending Triangle
DE_493.png,DE,Ascending Triangle
QQQ_175.png,QQQ,Hammer
GOOGL_624.png,GOOGL,Double Top
XOM_80.png,XOM,Shooting Star
AMZN_117.png,AMZN,Morning Star
AMZN_115.png,AMZN,Morning Star
V_3.png,V,Inverted Hammer
AMD_170.png,AMD,Ascending Triangle
SHOP_443.png,SHOP,Morning Star
QQQ_219.png,QQQ,Hammer
RIVN_345.png,RIVN,Descending Triangle
V_1.png,V,Inverted Hammer
GOOGL_582.png,GOOGL,Double Top
XOM_148.png,XOM,Morning Star
COIN_197.png,COIN,Descending Triangle
AAPL_114.png,AAPL,Cup and Handle
MSFT_373.png,MSFT,Bearish Engulfing
BA_756.png,BA,Double Top
BA_779.png,BA,Double Top
MSFT_197.png,MSFT,Double Top
BA_71.png,BA,Ascending Triangle
GOOGL_261.png,GOOGL,Morning Star
AMD_428.png,AMD,Bullish Engulfing
AAPL_54.png,AAPL,Bearish Engulfing
NFLX_336.png,NFLX,Evening Star
NVDA_922.png,NVDA,Bullish Engulfing
JPM_474.png,JPM,Double Top
UBER_154.png,UBER,Descending Triangle
GOOGL_489.png,GOOGL,Bearish Engulfing
SPY_360.png,SPY,Head and Shoulders
META_353.png,META,Head and Shoulders
JPM_468.png,JPM,Double Top
META_103.png,META,Bullish Engulfing
AMZN_0.png,AMZN,Evening Star
META_233.png,META,Descending Triangle
PFE_18.png,PFE,Morning Star
MRK_240.png,MRK,Head and Shoulders
PLTR_5.png,PLTR,Evening Star
TSLA_136.png,TSLA,Bullish Engulfing
AAPL_26.png,AAPL,Ascending Triangle
META_493.png,META,Cup and Handle
PLTR_345.png,PLTR,Head and Shoulders
MSFT_301.png,MSFT,Double Top
AMZN_627.png,AMZN,Double Bottom
NFLX_793.png,NFLX,Double Bottom
V_9.png,V,Inverted Hammer
NVDA_287.png,NVDA,Ascending Triangle
PFE_466.png,PFE,Morning Star
MA_27.png,MA,Ascending Triangle
GOOGL_589.png,GOOGL,Double Top
NFLX_312.png,NFLX,Evening Star
COIN_96.png,COIN,Hanging Man
UBER_36.png,UBER,Double Top
AMD_384.png,AMD,Hanging Man
UBER_711.png,UBER,Bearish Engulfing
SNOW_378.png,SNOW,Bullish Engulfing
NFLX_633.png,NFLX,Bullish Engulfing
GOOGL_735.png,GOOGL,Bearish Engulfing
CVX_52.png,CVX,Evening Star
TSLA_681.png,TSLA,Bullish Engulfing
NFLX_14.png,NFLX,Evening Star
META_299.png,META,Double Bottom
PFE_64.png,PFE,Hanging Man
GOOGL_559.png,GOOGL,Bearish Engulfing
META_15.png,META,Hanging Man
CAT_269.png,CAT,Hammer
AMD_364.png,AMD,Hanging Man
GOOGL_647.png,GOOGL,Double Top
UBER_779.png,UBER,Cup and Handle
CVX_172.png,CVX,Evening Star
PFE_195.png,PFE,Shooting Star
JPM_211.png,JPM,Shooting Star
RIVN_273.png,RIVN,Descending Triangle
BA_114.png,BA,Descending Triangle
QQQ_10.png,QQQ,Hammer
BA_155.png,BA,Cup and Handle
AMZN_241.png,AMZN,Descending Triangle
V_211.png,V,Ascending Triangle
NFLX_183.png,NFLX,Evening Star
META_204.png,META,Hanging Man
DE_315.png,DE,Shooting Star
GOOGL_850.png,GOOGL,Double Bottom
BA_777.png,BA,Double Top
DE_109.png,DE,Head and Shoulders
NVDA_89.png,NVDA,Ascending Triangle
XOM_179.png,XOM,Shooting Star
CAT_357.png,CAT,Hammer
NFLX_468.png,NFLX,Evening Star
META_662.png,META,Bullish Engulfing
TSLA_506.png,TSLA,Cup and Handle
UBER_243.png,UBER,Descending Triangle
LLY_26.png,LLY,Shooting Star
JPM_430.png,JPM,Double Bottom
CAT_294.png,CAT,Hammer
CVX_3.png,CVX,Evening Star
PFE_137.png,PFE,Hanging Man
NFLX_97.png,NFLX,Evening Star
CAT_325.png,CAT,Hammer
CAT_108.png,CAT,Hammer
UBER_397.png,UBER,Inverted Hammer
AMZN_422.png,AMZN,Descending Triangle
MSFT_392.png,MSFT,Double Top
UBER_324.png,UBER,Inverted Hammer
RIVN_213.png,RIVN,Descending Triangle
PFE_64.png,PFE,Hanging Man
AMZN_90.png,AMZN,Evening Star
UBER_153.png,UBER,Inverted Hammer
TSLA_213.png,TSLA,Cup and Handle
V_19.png,V,Inverted Hammer
QQQ_191.png,QQQ,Descending Triangle
BA_447.png,BA,Morning Star
SPY_34.png,SPY,Double Bottom
UBER_329.png,UBER,Inverted Hammer
CAT_240.png,CAT,Hammer
XOM_335.png,XOM,Cup and Handle
BA_442.png,BA,Ascending Triangle
MSFT_306.png,MSFT,Bearish Engulfing
NVDA_132.png,NVDA,Ascending Triangle
