Filename,Stock,Pattern
QQQ_53.png,QQQ,Hanging Man
CAT_185.png,CAT,Hammer
SHOP_362.png,SHOP,Shooting Star
SPY_404.png,SPY,Head and Shoulders
AMD_309.png,AMD,Cup and Handle
TSLA_83.png,TSLA,Ascending Triangle
SPY_140.png,SPY,Double Top
QQQ_219.png,QQQ,Hammer
V_1.png,V,Inverted Hammer
SPY_85.png,SPY,Head and Shoulders
AMD_366.png,AMD,Bearish Engulfing
CAT_235.png,CAT,Hammer
JNJ_388.png,JNJ,Head and Shoulders
V_160.png,V,Ascending Triangle
MSFT_265.png,MSFT,Double Top
SPY_418.png,SPY,Head and Shoulders
NVDA_104.png,NVDA,Ascending Triangle
AAPL_183.png,AAPL,Double Bottom
DE_282.png,DE,Shooting Star
AAPL_323.png,AAPL,Cup and Handle
NVDA_600.png,NVDA,Bearish Engulfing
XOM_344.png,XOM,Morning Star
SPY_192.png,SPY,Double Top
LLY_240.png,LLY,Shooting Star
UBER_792.png,UBER,Cup and Handle
COIN_418.png,COIN,Hanging Man
UBER_974.png,UBER,Bullish Engulfing
COIN_43.png,COIN,Hanging Man
COIN_455.png,COIN,Hanging Man
V_27.png,V,Inverted Hammer
UBER_175.png,UBER,Inverted Hammer
BAC_464.png,BAC,Double Bottom
NFLX_481.png,NFLX,Evening Star
NVDA_31.png,NVDA,Ascending Triangle
UBER_144.png,UBER,Inverted Hammer
MRK_365.png,MRK,Head and Shoulders
DE_248.png,DE,Shooting Star
COIN_115.png,COIN,Hanging Man
NVDA_197.png,NVDA,Ascending Triangle
AMZN_94.png,AMZN,Descending Triangle
LLY_130.png,LLY,Shooting Star
NVDA_7.png,NVDA,Ascending Triangle
BAC_43.png,BAC,Morning Star
NFLX_283.png,NFLX,Evening Star
JPM_242.png,JPM,Cup and Handle
AAPL_501.png,AAPL,Double Top
NFLX_19.png,NFLX,Evening Star
CAT_95.png,CAT,Hammer
DE_71.png,DE,Shooting Star
UBER_346.png,UBER,Descending Triangle
UBER_255.png,UBER,Bullish Engulfing
NFLX_312.png,NFLX,Evening Star
UBER_149.png,UBER,Inverted Hammer
BA_26.png,BA,Morning Star
SNOW_390.png,SNOW,Bullish Engulfing
XOM_259.png,XOM,Morning Star
CAT_217.png,CAT,Hammer
CAT_4.png,CAT,Hammer
META_359.png,META,Head and Shoulders
AAPL_354.png,AAPL,Ascending Triangle
CAT_31.png,CAT,Hammer
DE_326.png,DE,Shooting Star
GOOGL_189.png,GOOGL,Double Bottom
GOOGL_29.png,GOOGL,Bullish Engulfing
JPM_288.png,JPM,Shooting Star
PFE_334.png,PFE,Hanging Man
QQQ_166.png,QQQ,Morning Star
BA_170.png,BA,Descending Triangle
NVDA_337.png,NVDA,Hammer
NFLX_121.png,NFLX,Evening Star
PFE_52.png,PFE,Shooting Star
LLY_130.png,LLY,Shooting Star
RIVN_249.png,RIVN,Descending Triangle
COIN_258.png,COIN,Hanging Man
CAT_183.png,CAT,Hammer
GOOGL_464.png,GOOGL,Morning Star
TSLA_316.png,TSLA,Bearish Engulfing
COIN_353.png,COIN,Descending Triangle
JPM_123.png,JPM,Evening Star
UBER_752.png,UBER,Double Bottom
BA_497.png,BA,Descending Triangle
GOOGL_272.png,GOOGL,Morning Star
QQQ_351.png,QQQ,Hammer
RIVN_273.png,RIVN,Descending Triangle
CAT_180.png,CAT,Hammer
CAT_192.png,CAT,Hammer
META_357.png,META,Hanging Man
AMD_228.png,AMD,Descending Triangle
NVDA_210.png,NVDA,Hammer
COIN_220.png,COIN,Descending Triangle
SPY_531.png,SPY,Double Bottom
NVDA_547.png,NVDA,Bullish Engulfing
BA_494.png,BA,Ascending Triangle
BA_313.png,BA,Descending Triangle
BA_459.png,BA,Morning Star
NVDA_348.png,NVDA,Hammer
RIVN_422.png,RIVN,Bullish Engulfing
GOOGL_165.png,GOOGL,Double Bottom
DE_46.png,DE,Head and Shoulders
NFLX_302.png,NFLX,Evening Star
AMD_243.png,AMD,Double Bottom
META_976.png,META,Double Top
BA_895.png,BA,Bullish Engulfing
NFLX_513.png,NFLX,Bearish Engulfing
MSFT_437.png,MSFT,Double Top
GOOGL_104.png,GOOGL,Bearish Engulfing
AMZN_883.png,AMZN,Double Top
RIVN_220.png,RIVN,Bearish Engulfing
LLY_390.png,LLY,Hanging Man
MSFT_392.png,MSFT,Double Top
NVDA_858.png,NVDA,Cup and Handle
SPY_371.png,SPY,Head and Shoulders
V_22.png,V,Inverted Hammer
LLY_244.png,LLY,Head and Shoulders
GOOGL_156.png,GOOGL,Double Bottom
RIVN_105.png,RIVN,Descending Triangle
CVX_39.png,CVX,Evening Star
NVDA_839.png,NVDA,Cup and Handle
NVDA_389.png,NVDA,Bearish Engulfing
CAT_195.png,CAT,Hammer
NVDA_314.png,NVDA,Bearish Engulfing
TSLA_451.png,TSLA,Shooting Star
NFLX_243.png,NFLX,Evening Star
AAPL_291.png,AAPL,Bearish Engulfing
AMZN_117.png,AMZN,Morning Star
DE_214.png,DE,Shooting Star
XOM_175.png,XOM,Morning Star
NVDA_103.png,NVDA,Ascending Triangle
XOM_148.png,XOM,Morning Star
UBER_392.png,UBER,Inverted Hammer
NVDA_65.png,NVDA,Ascending Triangle
QQQ_107.png,QQQ,Descending Triangle
AAPL_373.png,AAPL,Bearish Engulfing
TSLA_0.png,TSLA,Shooting Star
MSFT_344.png,MSFT,Double Top
CAT_63.png,CAT,Hammer
AMZN_623.png,AMZN,Double Bottom
JPM_586.png,JPM,Cup and Handle
QQQ_305.png,QQQ,Hanging Man
RIVN_69.png,RIVN,Descending Triangle
COIN_117.png,COIN,Morning Star
TSLA_455.png,TSLA,Shooting Star
AMZN_374.png,AMZN,Descending Triangle
XOM_336.png,XOM,Cup and Handle
DE_204.png,DE,Shooting Star
PLTR_77.png,PLTR,Evening Star
QQQ_138.png,QQQ,Morning Star
AMD_102.png,AMD,Descending Triangle
LLY_361.png,LLY,Shooting Star
NFLX_123.png,NFLX,Evening Star
MRK_465.png,MRK,Head and Shoulders
QQQ_173.png,QQQ,Ascending Triangle
UBER_143.png,UBER,Inverted Hammer
META_203.png,META,Head and Shoulders
PFE_382.png,PFE,Morning Star
NVDA_383.png,NVDA,Ascending Triangle
LLY_176.png,LLY,Hanging Man
SOFI_340.png,SOFI,Ascending Triangle
SOFI_190.png,SOFI,Ascending Triangle
UBER_283.png,UBER,Inverted Hammer
AMZN_451.png,AMZN,Morning Star
AMZN_826.png,AMZN,Double Top
UBER_77.png,UBER,Descending Triangle
NFLX_235.png,NFLX,Double Bottom
AMZN_46.png,AMZN,Bearish Engulfing
AAPL_566.png,AAPL,Double Bottom
NVDA_846.png,NVDA,Cup and Handle
CAT_75.png,CAT,Hammer
META_641.png,META,Bullish Engulfing
NFLX_24.png,NFLX,Evening Star
NFLX_103.png,NFLX,Evening Star
SHOP_329.png,SHOP,Shooting Star
AMZN_49.png,AMZN,Bearish Engulfing
META_284.png,META,Double Bottom
GOOGL_271.png,GOOGL,Morning Star
NFLX_399.png,NFLX,Double Bottom
UBER_350.png,UBER,Inverted Hammer
CVX_39.png,CVX,Evening Star
BA_951.png,BA,Bullish Engulfing
BA_780.png,BA,Double Top
MSFT_17.png,MSFT,Bearish Engulfing
XOM_483.png,XOM,Morning Star
UBER_311.png,UBER,Inverted Hammer
LLY_26.png,LLY,Shooting Star
UBER_375.png,UBER,Double Bottom
NFLX_470.png,NFLX,Evening Star
CVX_190.png,CVX,Evening Star
MSFT_216.png,MSFT,Double Top
NFLX_19.png,NFLX,Evening Star
DE_237.png,DE,Head and Shoulders
JPM_62.png,JPM,Evening Star
SPY_332.png,SPY,Double Bottom
DE_112.png,DE,Head and Shoulders
SHOP_332.png,SHOP,Morning Star
AAPL_154.png,AAPL,Ascending Triangle
V_161.png,V,Ascending Triangle
SPY_177.png,SPY,Double Top
DE_45.png,DE,Head and Shoulders
AMZN_53.png,AMZN,Cup and Handle
MA_209.png,MA,Bullish Engulfing
UBER_324.png,UBER,Inverted Hammer
PLTR_16.png,PLTR,Head and Shoulders
QQQ_472.png,QQQ,Bullish Engulfing
NVDA_10.png,NVDA,Descending Triangle
UBER_469.png,UBER,Inverted Hammer
GOOGL_882.png,GOOGL,Double Bottom
UBER_75.png,UBER,Double Top
QQQ_21.png,QQQ,Hammer
AMD_511.png,AMD,Double Bottom
DE_205.png,DE,Shooting Star
MSFT_178.png,MSFT,Double Top
NFLX_982.png,NFLX,Cup and Handle
SPY_38.png,SPY,Cup and Handle
SPY_142.png,SPY,Double Top
BA_270.png,BA,Ascending Triangle
NVDA_146.png,NVDA,Double Bottom
BA_33.png,BA,Ascending Triangle
AMZN_342.png,AMZN,Cup and Handle
SHOP_79.png,SHOP,Morning Star
NVDA_338.png,NVDA,Hammer
MSFT_26.png,MSFT,Bearish Engulfing
TSLA_364.png,TSLA,Shooting Star
AMD_310.png,AMD,Cup and Handle
AMZN_117.png,AMZN,Morning Star
NFLX_97.png,NFLX,Evening Star
V_44.png,V,Morning Star
BAC_331.png,BAC,Head and Shoulders
AMZN_152.png,AMZN,Descending Triangle
DE_369.png,DE,Shooting Star
SPY_547.png,SPY,Double Bottom
AMZN_375.png,AMZN,Evening Star
AMZN_88.png,AMZN,Evening Star
NFLX_67.png,NFLX,Bullish Engulfing
BA_888.png,BA,Bullish Engulfing
UBER_283.png,UBER,Inverted Hammer
DE_258.png,DE,Shooting Star
BA_141.png,BA,Bullish Engulfing
PFE_326.png,PFE,Morning Star
GOOGL_679.png,GOOGL,Bearish Engulfing
BA_223.png,BA,Descending Triangle
JPM_366.png,JPM,Shooting Star
GOOGL_161.png,GOOGL,Double Bottom
NVDA_489.png,NVDA,Hammer
GOOGL_946.png,GOOGL,Cup and Handle
NVDA_423.png,NVDA,Double Top
AAPL_113.png,AAPL,Cup and Handle
MSFT_291.png,MSFT,Bearish Engulfing
META_428.png,META,Bearish Engulfing
PLTR_119.png,PLTR,Evening Star
META_422.png,META,Head and Shoulders
JPM_930.png,JPM,Cup and Handle
BA_330.png,BA,Descending Triangle
BA_97.png,BA,Morning Star
DE_287.png,DE,Head and Shoulders
BA_293.png,BA,Bullish Engulfing
META_128.png,META,Hanging Man
GOOGL_87.png,GOOGL,Morning Star
UBER_63.png,UBER,Descending Triangle
QQQ_215.png,QQQ,Descending Triangle
META_367.png,META,Hanging Man
UBER_637.png,UBER,Bearish Engulfing
CAT_370.png,CAT,Hammer
UBER_280.png,UBER,Inverted Hammer
MRK_64.png,MRK,Head and Shoulders
AMZN_209.png,AMZN,Descending Triangle
